,Name,Price,Rating out of 5
1,Samsung Galaxy Z Fold4 512GB Beige,1099990,0
11,Samsung Galaxy A03 32GB Black,69990,4.8
12,Texet TM-130 Black,6190,5
16,Samsung Galaxy A32 64GB Lavender,129990,4.8
26,Poco X4 Pro 256GB Laser Blue,179990,5
35,OPPO Reno 7 256GB 5G Startrails Blue,259990,4.7
37,Samsung Galaxy Z Flip4 256GB Gray,599990,3.5
42,Samsung Galaxy Z Flip4 128GB Gray,549990,5
47,Samsung Galaxy A52 128GB White,179990,5
48,Nokia 150 Black,19990,0
51,OPPO A57s 64GB Starry Black,99990,5
52,Samsung Galaxy Z Fold4 256GB Gray,999990,5
54,Samsung Galaxy A03 32GB Red,69990,5
56,Apple iPhone 12 128GB Black,449990,5
63,Samsung Galaxy A32 64GB Blue,129990,5
64,Samsung Galaxy A03 64GB Blue,79990,4.8
66,Nokia 125 Black,16990,5
67,Xiaomi 12 Lite 128GB/8GB Black,219990,5
68,OPPO A17 64GB Black,79990,5
74,Apple iPhone 14 Pro 512GB Space Black,909990,5
77,Apple iPhone 14 Pro Max 128GB Gold,769990,0
81,Xiaomi Redmi 9A 32GB Green,59990,4.5
83,Redmi A1+ 32GB Black,49990,5
84,Samsung Galaxy Z Fold4 512GB Gray,1099990,5
91,Vivo V23 128/8GB Stardust Black,191990,0
94,Apple iPhone 14 Pro Max 128GB Space Black,769990,5
98,Xiaomi 12 Lite 256GB/8GB Lite Pink,239990,5
99,Xiaomi 12 Lite 128GB/8GB Lite Pink,219990,0
100,Poco M4 Pro 128/6GB 4G Cool Blue,129990,0
101,Xiaomi Redmi Note 11S 128GB Pearl White,139990,0
103,Xiaomi Redmi Note 11S 128GB Graphite Gray,139990,5
104,Xiaomi 12 Lite 256GB/8GB Black,239990,4.4
109,Vivo Y35s 64Gb Dawn Gold,109990,0
111,Texet TM-123 Black,7690,0
112,Redmi A1+ 32GB Light Blue,49990,5
115,Xiaomi 12T 256GB/8GB Black,299990,5
123,Poco M4 Pro 64GB Power Black,89990,0
129,Samsung Galaxy A03 32GB Blue,69990,5
132,Samsung Galaxy Z Flip4 256GB Gold,599990,0
138,Apple iPhone 14 Pro 1TB Space Black,1049990,0
139,Apple iPhone 14 Plus 512GB Starlight,839990,4
140,OPPO A57s 128GB Starry Black,119990,0
142,Samsung Galaxy A32 64GB Black,129990,5
144,Poco M4 Pro 128GB Yellow,99990,2
147,Apple iPhone 14 Pro Max 256GB Silver,839990,0
151,Samsung Galaxy A03 64GB Red,79990,4.7
152,Samsung Galaxy A52 128GB Lavender,179990,5
156,Texet TM-122 Black,6490,5
158,Xiaomi Redmi 9C 64GB Aurora Green,69990,4.8
160,Vivo V25 Pro 256GB Surfing Blue,319990,5
